"File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR",,
"ENCFF276VPB	bam	bam		alignments	GRCh38	ENCSR944UJZ	total RNA-seq	/human-donors/ENCDO423GGP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				2	2_1		101					/files/ENCFF156VKY/", /files/ENCFF598IDH/," /files/ENCFF322AXN/	2823177323	ENCODE Processing Pipeline	bf6b7e8ecd088fbc3f066a3b017a0ef0		https://www.encodeproject.org/files/ENCFF276VPB/@@download/ENCFF276VPB.bam	V29			released	s3://encode-public/2022/11/27/00950f9f-80bd-4ae7-b742-2d8777da0456/ENCFF276VPB.bam	https://datasetencode.blob.core.windows.net/dataset/2022/11/27/00950f9f-80bd-4ae7-b742-2d8777da0456/ENCFF276VPB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 GRCh38 V29	released			"
"ENCFF810FMY	bam	bam		transcriptome alignments	GRCh38	ENCSR944UJZ	total RNA-seq	/human-donors/ENCDO423GGP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				2	2_1		101					/files/ENCFF156VKY/", /files/ENCFF598IDH/," /files/ENCFF322AXN/	2281433544	ENCODE Processing Pipeline	ca21a4b21d05642bc36ee7bab045625a		https://www.encodeproject.org/files/ENCFF810FMY/@@download/ENCFF810FMY.bam	V29			released	s3://encode-public/2022/11/27/4b86c69c-1d25-40b0-add2-efd969114c70/ENCFF810FMY.bam	https://datasetencode.blob.core.windows.net/dataset/2022/11/27/4b86c69c-1d25-40b0-add2-efd969114c70/ENCFF810FMY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.4 GRCh38 V29	released			"
"ENCFF979NLQ	fastq	fastq		reads		ENCSR863VFU	total RNA-seq	/human-donors/ENCDO669IVL/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2607316605	Barbara Wold"," Caltech	d693356cba91a0fc4417f31175760078	SRA:SRR22521885	https://www.encodeproject.org/files/ENCFF979NLQ/@@download/ENCFF979NLQ.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/dffac28b-9ac8-43a1-94d8-ca5221e0d294/ENCFF979NLQ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/dffac28b-9ac8-43a1-94d8-ca5221e0d294/ENCFF979NLQ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF635SRJ	bam	bam		alignments	GRCh38	ENCSR863VFU	total RNA-seq	/human-donors/ENCDO669IVL/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF979NLQ/"," /files/ENCFF598IDH/	2554100093	ENCODE Processing Pipeline	2248204a4b519ccee26862533dc6d96e		https://www.encodeproject.org/files/ENCFF635SRJ/@@download/ENCFF635SRJ.bam	V29			released	s3://encode-public/2022/03/09/b0b3f023-8679-418f-91cb-30896d4a6894/ENCFF635SRJ.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/b0b3f023-8679-418f-91cb-30896d4a6894/ENCFF635SRJ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF423UED	bam	bam		transcriptome alignments	GRCh38	ENCSR863VFU	total RNA-seq	/human-donors/ENCDO669IVL/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF979NLQ/"," /files/ENCFF598IDH/	2105584780	ENCODE Processing Pipeline	45ed5749d8047af36882e0dc7171e90e		https://www.encodeproject.org/files/ENCFF423UED/@@download/ENCFF423UED.bam	V29			released	s3://encode-public/2022/03/09/a0b2b2d1-ff4d-4049-87a7-85fd2ffec868/ENCFF423UED.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/a0b2b2d1-ff4d-4049-87a7-85fd2ffec868/ENCFF423UED.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF774NWB	fastq	fastq		reads		ENCSR339NMQ	total RNA-seq	/human-donors/ENCDO843TIL/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2751054734	Barbara Wold"," Caltech	7f572e2d7ba7ed22904611130875731f	SRA:SRR22521619	https://www.encodeproject.org/files/ENCFF774NWB/@@download/ENCFF774NWB.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/5fe64f82-c0d8-4797-90a6-5d60ce6df285/ENCFF774NWB.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/5fe64f82-c0d8-4797-90a6-5d60ce6df285/ENCFF774NWB.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF013HFB	bam	bam		alignments	GRCh38	ENCSR339NMQ	total RNA-seq	/human-donors/ENCDO843TIL/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF774NWB/	2698224585	ENCODE Processing Pipeline	9950c5dfd4ec0ef7b6dcf674eb0645a3		https://www.encodeproject.org/files/ENCFF013HFB/@@download/ENCFF013HFB.bam	V29			released	s3://encode-public/2022/03/09/79d1b6cb-8934-42d3-acac-8777f43df61b/ENCFF013HFB.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/79d1b6cb-8934-42d3-acac-8777f43df61b/ENCFF013HFB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF337LZT	bam	bam		transcriptome alignments	GRCh38	ENCSR339NMQ	total RNA-seq	/human-donors/ENCDO843TIL/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF774NWB/	2174474086	ENCODE Processing Pipeline	6d457df4236a2a6923329e7e1a14eea3		https://www.encodeproject.org/files/ENCFF337LZT/@@download/ENCFF337LZT.bam	V29			released	s3://encode-public/2022/03/09/a9ee6c15-cc72-418f-aeda-b1ca3a0a7d4b/ENCFF337LZT.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/a9ee6c15-cc72-418f-aeda-b1ca3a0a7d4b/ENCFF337LZT.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF230IEF	fastq	fastq		reads		ENCSR007SVQ	total RNA-seq	/human-donors/ENCDO888KBY/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1	101		single-ended					3008082234	Barbara Wold"," Caltech	0a14de4a10242342067d24f5e3d8bea8	SRA:SRR22520782	https://www.encodeproject.org/files/ENCFF230IEF/@@download/ENCFF230IEF.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2022/03/28/d87ae236-35b9-4481-aa47-46c76bccffe2/ENCFF230IEF.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/28/d87ae236-35b9-4481-aa47-46c76bccffe2/ENCFF230IEF.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF927QMG	bam	bam		transcriptome alignments	GRCh38	ENCSR007SVQ	total RNA-seq	/human-donors/ENCDO888KBY/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF230IEF/"," /files/ENCFF598IDH/	2261592328	ENCODE Processing Pipeline	03029074ecc4dd634d2e8222291f821c		https://www.encodeproject.org/files/ENCFF927QMG/@@download/ENCFF927QMG.bam	V29			released	s3://encode-public/2022/04/14/05523c72-ca16-4d27-bb7e-512b7739a9e9/ENCFF927QMG.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/05523c72-ca16-4d27-bb7e-512b7739a9e9/ENCFF927QMG.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF656AEO	bam	bam		alignments	GRCh38	ENCSR007SVQ	total RNA-seq	/human-donors/ENCDO888KBY/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF230IEF/"," /files/ENCFF598IDH/	3026636251	ENCODE Processing Pipeline	9f9013730091796ea5db0c5cfd4e433d		https://www.encodeproject.org/files/ENCFF656AEO/@@download/ENCFF656AEO.bam	V29			released	s3://encode-public/2022/04/14/945bbde1-af87-41fa-b4fb-9bef0f6c6bf2/ENCFF656AEO.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/945bbde1-af87-41fa-b4fb-9bef0f6c6bf2/ENCFF656AEO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF863WXX	fastq	fastq		reads		ENCSR795GYH	total RNA-seq	/human-donors/ENCDO982NCL/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2533863979	Barbara Wold"," Caltech	65951f4db21fd0796354cc0d41bb40f0	SRA:SRR22521693	https://www.encodeproject.org/files/ENCFF863WXX/@@download/ENCFF863WXX.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/1ca491cc-bcfe-47ab-82b2-e21600408548/ENCFF863WXX.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/1ca491cc-bcfe-47ab-82b2-e21600408548/ENCFF863WXX.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF522FNP	bam	bam		transcriptome alignments	GRCh38	ENCSR795GYH	total RNA-seq	/human-donors/ENCDO982NCL/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF863WXX/"," /files/ENCFF598IDH/	2039230034	ENCODE Processing Pipeline	ab65e5f5fe48a45d4e0ea4fcac53cf6c		https://www.encodeproject.org/files/ENCFF522FNP/@@download/ENCFF522FNP.bam	V29			released	s3://encode-public/2022/03/09/8b41bcf2-4046-4b6a-a137-23b70a7de4cb/ENCFF522FNP.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/8b41bcf2-4046-4b6a-a137-23b70a7de4cb/ENCFF522FNP.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF899AKM	bam	bam		alignments	GRCh38	ENCSR795GYH	total RNA-seq	/human-donors/ENCDO982NCL/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF863WXX/"," /files/ENCFF598IDH/	2504533357	ENCODE Processing Pipeline	d8d6f5b8204018e848fbd9136412ab02		https://www.encodeproject.org/files/ENCFF899AKM/@@download/ENCFF899AKM.bam	V29			released	s3://encode-public/2022/03/09/188c0a8d-f2dd-4dcd-a3df-5cda2db063d3/ENCFF899AKM.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/188c0a8d-f2dd-4dcd-a3df-5cda2db063d3/ENCFF899AKM.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF190JNY	fastq	fastq		reads		ENCSR390MBR	total RNA-seq	/human-donors/ENCDO420VTI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1	101		single-ended					2826890497	Barbara Wold"," Caltech	b616ef0a90dd58c597759c4140a899ca	SRA:SRR22521753	https://www.encodeproject.org/files/ENCFF190JNY/@@download/ENCFF190JNY.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2022/03/28/e163676d-af57-4e94-8cde-e407cd3bba44/ENCFF190JNY.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/28/e163676d-af57-4e94-8cde-e407cd3bba44/ENCFF190JNY.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF433ZRV	bam	bam		alignments	GRCh38	ENCSR390MBR	total RNA-seq	/human-donors/ENCDO420VTI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF190JNY/"," /files/ENCFF598IDH/	2900792572	ENCODE Processing Pipeline	f3dce412f2b247040d76b712c39c5656		https://www.encodeproject.org/files/ENCFF433ZRV/@@download/ENCFF433ZRV.bam	V29			released	s3://encode-public/2022/04/14/ccfd29ac-6d36-4a61-8ad8-48de1d57896e/ENCFF433ZRV.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/ccfd29ac-6d36-4a61-8ad8-48de1d57896e/ENCFF433ZRV.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF809CZM	bam	bam		transcriptome alignments	GRCh38	ENCSR390MBR	total RNA-seq	/human-donors/ENCDO420VTI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF190JNY/"," /files/ENCFF598IDH/	2321820712	ENCODE Processing Pipeline	c02d1155113eb58f2569fc8658034c3d		https://www.encodeproject.org/files/ENCFF809CZM/@@download/ENCFF809CZM.bam	V29			released	s3://encode-public/2022/04/14/3922ee12-e7cf-4ff4-ab63-85e4068e6d9a/ENCFF809CZM.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/3922ee12-e7cf-4ff4-ab63-85e4068e6d9a/ENCFF809CZM.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF658CDP	fastq	fastq		reads		ENCSR755FNG	total RNA-seq	/human-donors/ENCDO218FFZ/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1	101		single-ended					2647474705	Barbara Wold"," Caltech	40f9d1c1b0d068b8722235e55841449e	SRA:SRR22521608	https://www.encodeproject.org/files/ENCFF658CDP/@@download/ENCFF658CDP.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2022/03/28/f7a0fbe5-4469-47ae-9c89-3ab165c067ac/ENCFF658CDP.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/28/f7a0fbe5-4469-47ae-9c89-3ab165c067ac/ENCFF658CDP.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF413DLW	bam	bam		transcriptome alignments	GRCh38	ENCSR755FNG	total RNA-seq	/human-donors/ENCDO218FFZ/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF658CDP/	2435933000	ENCODE Processing Pipeline	a930eb486327141a985a6b08b1b20512		https://www.encodeproject.org/files/ENCFF413DLW/@@download/ENCFF413DLW.bam	V29			released	s3://encode-public/2022/04/14/56ff6cb5-4ad3-4c42-8c15-0e4f503bce26/ENCFF413DLW.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/56ff6cb5-4ad3-4c42-8c15-0e4f503bce26/ENCFF413DLW.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF373IJO	bam	bam		alignments	GRCh38	ENCSR755FNG	total RNA-seq	/human-donors/ENCDO218FFZ/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF658CDP/	2653914957	ENCODE Processing Pipeline	ee70b8859d2101a042fcfbf7c35814ce		https://www.encodeproject.org/files/ENCFF373IJO/@@download/ENCFF373IJO.bam	V29			released	s3://encode-public/2022/04/14/166e1576-0dd2-49a3-afdf-0bf6cd8ca02d/ENCFF373IJO.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/166e1576-0dd2-49a3-afdf-0bf6cd8ca02d/ENCFF373IJO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF997WKH	fastq	fastq		reads		ENCSR394ZSF	total RNA-seq	/human-donors/ENCDO203ASI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2596918393	Barbara Wold"," Caltech	300fa4e3a40b5ca863d81bb43de2d463	SRA:SRR22521757	https://www.encodeproject.org/files/ENCFF997WKH/@@download/ENCFF997WKH.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/78096792-b382-42ce-ab57-693aa779d048/ENCFF997WKH.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/78096792-b382-42ce-ab57-693aa779d048/ENCFF997WKH.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF239NHF	bam	bam		transcriptome alignments	GRCh38	ENCSR394ZSF	total RNA-seq	/human-donors/ENCDO203ASI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF997WKH/	2223462396	ENCODE Processing Pipeline	66cd080b80bf275c2b5e36027e08d9a4		https://www.encodeproject.org/files/ENCFF239NHF/@@download/ENCFF239NHF.bam	V29			released	s3://encode-public/2022/03/09/b2229505-b30b-48fa-8474-0f890bf36786/ENCFF239NHF.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/b2229505-b30b-48fa-8474-0f890bf36786/ENCFF239NHF.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF351KYE	bam	bam		alignments	GRCh38	ENCSR394ZSF	total RNA-seq	/human-donors/ENCDO203ASI/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF598IDH/"," /files/ENCFF997WKH/	2587044956	ENCODE Processing Pipeline	d5be03180e68489578398721801cb351		https://www.encodeproject.org/files/ENCFF351KYE/@@download/ENCFF351KYE.bam	V29			released	s3://encode-public/2022/03/09/b2bdae93-5eaa-4b53-a434-c139e8e853bc/ENCFF351KYE.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/b2bdae93-5eaa-4b53-a434-c139e8e853bc/ENCFF351KYE.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF919NVG	fastq	fastq		reads		ENCSR365ARV	total RNA-seq	/human-donors/ENCDO006DAA/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1	101		single-ended					2183832980	Barbara Wold"," Caltech	301c7f18a54ae0394ca28c738de8ca50	SRA:SRR22521687	https://www.encodeproject.org/files/ENCFF919NVG/@@download/ENCFF919NVG.fastq.gz		Illumina NextSeq 2000		released	s3://encode-public/2022/03/03/97cf5d3e-0ecd-49eb-8fa4-6e48e860bcb6/ENCFF919NVG.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/03/97cf5d3e-0ecd-49eb-8fa4-6e48e860bcb6/ENCFF919NVG.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF751XHM	bam	bam		transcriptome alignments	GRCh38	ENCSR365ARV	total RNA-seq	/human-donors/ENCDO006DAA/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF919NVG/"," /files/ENCFF598IDH/	1838497330	ENCODE Processing Pipeline	052b2d977bbddae1a45982cca9a2df94		https://www.encodeproject.org/files/ENCFF751XHM/@@download/ENCFF751XHM.bam	V29			released	s3://encode-public/2022/03/09/97d53e3e-7444-41c4-8065-f26e4aa54bd9/ENCFF751XHM.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/97d53e3e-7444-41c4-8065-f26e4aa54bd9/ENCFF751XHM.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF509YNY	bam	bam		alignments	GRCh38	ENCSR365ARV	total RNA-seq	/human-donors/ENCDO006DAA/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-03-28	ENCODE				1	1_1		101					/files/ENCFF919NVG/"," /files/ENCFF598IDH/	2383255988	ENCODE Processing Pipeline	85e01d10c8dbfd86268b08f38bf751da		https://www.encodeproject.org/files/ENCFF509YNY/@@download/ENCFF509YNY.bam	V29			released	s3://encode-public/2022/03/09/1117b854-b53f-479d-ae1b-d5750a7069b1/ENCFF509YNY.bam	https://datasetencode.blob.core.windows.net/dataset/2022/03/09/1117b854-b53f-479d-ae1b-d5750a7069b1/ENCFF509YNY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF054ZKZ	fastq	fastq		reads		ENCSR579KTN	total RNA-seq	/human-donors/ENCDO448ZXP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1	101		single-ended					2898929289	Barbara Wold"," Caltech	2858e40cc50eab2cdd663e823b1baaf0	SRA:SRR22521013	https://www.encodeproject.org/files/ENCFF054ZKZ/@@download/ENCFF054ZKZ.fastq.gz		Illumina HiSeq 2500		released	s3://encode-public/2022/03/28/12ceab24-ce5e-46cb-96b3-813c06f42fc6/ENCFF054ZKZ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2022/03/28/12ceab24-ce5e-46cb-96b3-813c06f42fc6/ENCFF054ZKZ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D					",
"ENCFF880SZJ	bam	bam		alignments	GRCh38	ENCSR579KTN	total RNA-seq	/human-donors/ENCDO448ZXP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF054ZKZ/"," /files/ENCFF598IDH/	2829949201	ENCODE Processing Pipeline	01cbda0411d26522de7c817532dadf67		https://www.encodeproject.org/files/ENCFF880SZJ/@@download/ENCFF880SZJ.bam	V29			released	s3://encode-public/2022/04/14/3c83227c-32d0-47aa-ad83-7952b8493f23/ENCFF880SZJ.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/3c83227c-32d0-47aa-ad83-7952b8493f23/ENCFF880SZJ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
"ENCFF954QMW	bam	bam		transcriptome alignments	GRCh38	ENCSR579KTN	total RNA-seq	/human-donors/ENCDO448ZXP/	UBERON:0009834	dorsolateral prefrontal cortex	tissue	Homo sapiens											RNA					reverse	2022-04-29	ENCODE				1	1_1		101					/files/ENCFF054ZKZ/"," /files/ENCFF598IDH/	2114219197	ENCODE Processing Pipeline	07fbbd8069235e016b89025e156f72a7		https://www.encodeproject.org/files/ENCFF954QMW/@@download/ENCFF954QMW.bam	V29			released	s3://encode-public/2022/04/14/94544fc6-3686-49e1-bcf0-88fa71eeef07/ENCFF954QMW.bam	https://datasetencode.blob.core.windows.net/dataset/2022/04/14/94544fc6-3686-49e1-bcf0-88fa71eeef07/ENCFF954QMW.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.3 GRCh38 V29	released			",
